hour,ADCB Metro Station,Abu Baker Al Siddique Metro Station,Abu Hail Metro Station,Airport Terminal 1 Metro Station,Airport Terminal 3 Metro Station,Al Fahidi  Metro Station,Al Ghubaiba Metro Station,Al Jadaf Metro Station,Al Jafiliya Metro Station,Al Nahda Metro Station,Al Qiyadah Metro Station,Al Qusais  Metro Station,Al Ras Metro Station,Al Rigga Metro Station,Baniyas Square Metro Station,BurJuman Metro Station,Burj Khalifa/ Dubai Mall Metro Station,Business Bay Metro Station,Creek Metro Station,DAMAC Properties Metro Station,Danube Metro Station,Deira City Centre Metro Station,Dubai Airport Free Zone Metro Station,Dubai Healthcare City Metro Station,Dubai Internet City  Metro Station,Emirates Metro Station,Emirates Towers Metro Station,Energy  Metro Station,Etisalat Metro Station,FGB Metro Station,Financial Centre Metro Station,GGICO  Metro Station,Ibn Battuta Metro Station,Jumeirah Lakes Towers Metro Station,Mall of the Emirates Metro Station,Nakheel Harbour & Tower Metro Station,Nakheel Metro Station,Noor Bank Metro Station,Oud Metha Metro Station,Palm Deira Metro Station,Rashidiya Metro Station,Salah Al Din Metro Station,Sharaf DG Metro Station,Stadium Metro Station,UAE Exchange Metro Station,Union  Metro Station,World Trade Centre Metro Station
0,0,0,0,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,1,6,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,3,0,0
5,220,106,49,158,74,44,23,2,201,76,24,26,0,316,0,423,7,2,6,8,33,75,94,7,25,72,68,0,30,16,0,10,71,10,12,0,2,95,5,14,269,61,17,155,12,321,28
6,1603,1129,587,839,496,1345,848,103,1163,570,325,314,154,2187,532,2027,580,919,171,618,328,797,855,318,792,725,500,21,360,779,437,284,892,514,595,80,191,1065,757,626,1614,1130,501,1560,401,2313,456
7,3514,2463,1403,902,495,3213,1687,271,2167,1305,729,945,374,4442,1374,4997,1866,3173,356,1682,1081,1980,1896,917,2200,1506,1423,48,721,2289,1073,1279,2011,1938,1742,143,626,2684,1873,1149,3059,2230,1422,3105,1250,4540,1135
8,3674,2615,1680,796,496,4371,2115,202,2507,1550,950,998,715,4637,2318,6237,2764,5084,253,2951,983,2743,1824,1327,3353,1351,2615,62,646,2395,1777,2241,2176,3443,2122,159,1175,3279,2212,1300,2496,2270,1635,3195,1476,5055,1765
9,1914,1389,999,647,470,2660,1541,142,1529,836,689,807,930,2461,2157,3664,1954,2779,101,1935,607,1924,1025,813,2188,676,1688,50,469,1456,1150,1013,1299,2235,1642,100,871,1921,1235,918,1498,1416,922,1814,709,3275,1125
10,1366,1038,881,661,377,2008,1275,173,1112,700,544,791,746,1697,1823,2912,1503,1648,115,1318,494,1719,740,562,1321,601,991,19,454,1057,820,793,1101,1430,1570,40,393,1425,930,922,1219,1044,721,1246,369,2830,788
11,1410,1035,797,579,332,1980,1488,168,1154,719,507,802,840,1716,1987,3068,2154,1533,114,1348,506,2020,751,479,1425,621,987,33,405,988,813,741,1141,1307,1993,44,302,1474,1170,896,1167,1055,674,1287,319,2885,856
12,1484,995,786,668,456,2204,1486,133,1174,684,505,791,912,1688,2128,3434,2420,1544,98,1471,516,2313,698,480,1314,691,951,25,350,924,842,686,1277,1379,2338,58,338,1383,1374,851,1212,1115,679,1276,310,2928,804
13,1529,1158,885,737,565,2172,1608,137,1190,648,604,823,1215,1865,2609,3446,2515,1427,86,1389,529,2524,842,468,1282,666,866,24,362,935,888,764,1347,1337,2461,62,282,1472,1689,902,1366,1297,655,1549,287,3062,798
