hour,ADCB Metro Station,Abu Baker Al Siddique Metro Station,Abu Hail Metro Station,Airport Terminal 1 Metro Station,Airport Terminal 3 Metro Station,Al Fahidi  Metro Station,Al Ghubaiba Metro Station,Al Jadaf Metro Station,Al Jafiliya Metro Station,Al Nahda Metro Station,Al Qiyadah Metro Station,Al Qusais  Metro Station,Al Ras Metro Station,Al Rigga Metro Station,Baniyas Square Metro Station,BurJuman Metro Station,Burj Khalifa/ Dubai Mall Metro Station,Business Bay Metro Station,Creek Metro Station,DAMAC Properties Metro Station,Danube Metro Station,Deira City Centre Metro Station,Dubai Airport Free Zone Metro Station,Dubai Healthcare City Metro Station,Dubai Internet City  Metro Station,Emirates Metro Station,Emirates Towers Metro Station,Energy  Metro Station,Etisalat Metro Station,FGB Metro Station,Financial Centre Metro Station,GGICO  Metro Station,Ibn Battuta Metro Station,Jumeirah Lakes Towers Metro Station,Mall of the Emirates Metro Station,Nakheel Harbour & Tower Metro Station,Nakheel Metro Station,Noor Bank Metro Station,Oud Metha Metro Station,Palm Deira Metro Station,Rashidiya Metro Station,Salah Al Din Metro Station,Sharaf DG Metro Station,Stadium Metro Station,UAE Exchange Metro Station,Union  Metro Station,World Trade Centre Metro Station
0,0,2,0,0,2,0,0,2,0,0,0,13,0,0,0,0,0,0,5,0,57,0,11,0,0,10,0,0,13,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,23,0,0
4,190,195,186,156,80,351,621,23,124,63,36,249,40,368,365,468,0,428,14,189,516,300,217,15,120,31,148,49,602,290,396,24,636,278,90,24,15,175,70,181,380,122,52,169,483,1203,172
5,227,161,176,277,200,391,550,44,152,153,65,329,16,476,284,365,1,380,11,191,1010,162,182,17,137,51,182,42,321,132,276,24,445,275,182,9,24,338,91,327,341,124,65,444,247,1012,114
6,344,305,211,524,451,419,671,14,298,123,89,159,42,643,250,558,1191,372,18,192,549,237,183,124,204,126,170,38,115,204,228,81,378,236,274,21,59,482,512,277,435,288,139,370,168,1039,170
7,459,400,243,480,348,529,798,40,419,169,121,243,117,683,393,748,459,360,41,373,738,364,199,147,313,148,226,73,115,394,289,119,525,335,478,19,93,543,440,319,514,413,240,435,176,1011,189
8,694,540,323,415,288,789,1051,16,526,264,205,290,282,922,660,1019,589,448,24,415,646,529,343,168,419,198,230,134,174,410,341,88,584,425,684,27,118,767,1205,454,595,581,315,586,170,1200,197
9,765,607,379,430,307,950,1361,42,609,287,203,334,359,931,855,1324,737,471,44,534,932,749,442,209,477,163,301,160,198,529,351,107,851,466,826,43,115,871,1789,540,861,699,364,679,262,1508,285
10,803,616,411,495,265,1072,1769,42,682,320,228,415,391,994,1072,1344,1130,564,51,574,1367,809,458,199,639,162,291,257,251,602,419,106,1058,695,1155,41,119,1206,1311,717,837,667,338,777,310,1812,342
11,1090,765,474,491,279,1503,2207,50,829,335,267,523,506,1289,1224,2116,1683,608,71,966,1561,1532,517,166,875,213,374,367,254,732,509,160,1353,1025,2111,58,174,1281,2638,811,941,835,556,962,499,2396,440
12,1298,869,574,479,414,1694,2588,61,869,468,308,497,677,1474,1622,2299,2597,702,69,1227,1608,2084,636,246,914,275,513,404,322,696,599,159,1755,1199,2841,70,165,1387,1473,970,1149,1003,518,1165,408,2799,436
13,1518,957,719,610,448,1831,2777,55,1032,444,437,615,831,1727,1855,2761,3026,714,109,1321,1566,2587,635,178,1028,275,448,354,332,789,686,156,1876,1341,3357,70,140,1578,1449,1161,1448,1182,579,1399,433,2974,451
14,1765,1068,681,610,452,2031,2929,68,1158,557,404,613,748,2137,1879,3295,3441,750,96,1289,1894,3272,738,227,1073,326,485,388,419,771,637,164,2078,1478,4471,86,160,1734,2068,1272,1471,1311,600,1514,538,3429,492
15,1898,1122,658,736,427,2071,3292,84,1250,523,445,612,690,2240,1999,3231,4138,775,159,1709,2010,3701,712,284,1044,353,598,377,355,871,691,164,2380,1692,4821,74,196,1906,2175,1292,1520,1286,683,1680,502,4049,562
16,2144,1359,892,684,396,2401,3790,89,1620,733,496,762,863,2692,2357,4215,4745,1076,158,2026,2067,4517,905,324,1293,431,620,371,485,1085,854,284,2688,2083,5166,119,230,2167,5265,1580,1784,1609,725,1822,483,4760,629
17,2330,1408,977,779,464,2855,4356,86,1823,755,589,806,965,2915,2709,4719,5238,1283,197,2313,2306,5136,1073,327,1535,469,703,351,467,1202,933,225,3030,2350,5872,109,230,2480,5189,1694,1805,1763,869,2224,670,5492,687
18,2554,1552,1144,877,408,3128,4422,105,1774,846,571,728,860,3370,2939,5136,5778,1535,212,2465,2337,5723,1102,430,1555,472,681,235,478,1280,991,316,3212,2639,6254,89,282,2567,5409,1833,1941,2093,969,2272,695,5697,738
19,2513,1556,1034,725,351,3185,3888,80,1676,700,509,731,745,3216,2993,5214,5909,1637,133,2066,2435,5567,1110,417,1531,413,701,224,488,1021,950,321,2932,2113,5410,117,178,2227,6032,1542,1839,2082,818,2434,680,5946,692
20,2094,1369,948,790,338,2477,3166,52,1461,605,524,597,709,2855,2544,4039,4562,1251,110,1670,1820,4702,898,263,1320,347,606,144,402,800,824,248,2424,1500,4208,85,167,1889,3429,1344,1652,1767,695,2087,481,4810,537
21,1883,1251,843,929,403,2286,2302,46,1171,595,526,555,676,2567,2303,3729,3814,928,96,1282,1439,3915,837,259,1025,257,518,101,407,742,792,169,2062,1208,3286,77,146,1636,1325,1124,1540,1551,662,1857,389,4086,506
