hour,ADCB Metro Station Landside,ADCB Metro Station Seaside,Abu Baker Al Siddique Metro Station 1,Abu Baker Al Siddique Metro Station 2,Abu Hail Metro Station A1,Abu Hail Metro Station A3,Abu Hail Metro Station A6,Abu Hail Metro Station B1,Al Fahidie Metro Station A1,Al Fahidie Metro Station A2,Al Fahidie Metro Station B1,Al Fahidie Metro Station B2,Al Ghubaiba Metro Station,Al Jaddaf Metro Station A1,Al Jaddaf Metro Station A2,Al Nahda Metro Station 1,Al Nahda Metro Station 2,Al Qusais Metro Station 1,Al Qusais Metro Station 2,Al Ras Metro Station 1,Al Ras Metro Station 2,"Al Rashidiya Metro Station, Royal Air Wing",Al Rigga Metro Station A 1,Al Rigga Metro Station A 2,BurJuman Metro Station A1,BurJuman Metro Station A2,BurJuman Metro Station B1,BurJuman Metro Station B2,BurJuman Metro Station C1,BurJuman Metro Station C2,BurJuman Metro Station D1,Business Bay Metro Station Landside,Business Bay Metro Station Seaside,Creek Metro Station,Danube Metro Station Landside,Danube Metro Station Seaside,Dubai Airport Free Zone Metro Station 1,Dubai Airport Free Zone Metro Station 2,Dubai Healthcare City Metro station A1,Dubai Healthcare City Metro station A2,Dubai Internet City Metro Station Landside,Emirates Metro Station 1,Emirates Metro Station 2,Energy Metro Station Landside,Etisalat Metro Station A1,FGB Metro Station Landside,"Hor Al Anz East, Qiyadah Metro Station",Ibn Battuta  Metro Station 2,Ibn Battuta  Metro Station 3,Ibn Battuta  Metro Station 4,Ibn Battuta  Metro Station 5,Ibn Battuta  Metro Station 6,Ibn Battuta  Metro Station 7,Mall Of  Emirates Metro Station 1,Mall Of  Emirates Metro Station 2,Mall Of  Emirates Metro Station 3,Mall Of  Emirates Metro Station 4,Mall Of  Emirates Metro Station 5,Oud Metha Metro Station 1,Oud Metha Metro Station 2,Oud Metha Metro Station Terminus,Palm Deira Metro Station,Rashidiya Metro Bus Parking,Rashidiya Metro Station 1,Rashidiya Metro Station 2,Rashidiya Metro Station 3,Rashidiya Metro Station 4,Rashidiya Metro Station 5,Rashidiya Metro Station 6,Rashidiya Metro Station 7,Rashidiya Metro Station 8,Rashidiya Metro Station A1,Rashidiya Metro Station A2,Rashidiya Metro Station A3,Rashidiya Metro Station A4,Rashidiya Metro Station A5,Rashidiya Metro Station A6,Rashidiya Metro Station A8,Salah Al Din Metro Station 1,Salah Al Din Metro Station 2,Sharaf DG Metro Station Landside,Stadium Metro Station 1,Stadium Metro Station 2,Trade Center Metro Station,UAE Exchange Metro Station,Union Metro Station A 1,Union Metro Station A 2,Union Metro Station B 1,Union Metro Station C 2,Union Metro Station D 1
0,41,24,12,4,0,1,0,0,39,64,95,43,5,0,0,16,17,16,2,0,1,0,0,0,11,40,7,4,3,1,0,0,4,0,83,1,0,1,0,0,17,10,1,0,4,41,0,7,26,2,10,0,34,0,0,7,1,12,3,24,1,32,20,0,9,18,0,41,7,7,35,0,7,5,2,0,0,2,1,6,0,32,201,2,19,135,30,0,178,11
1,15,0,5,0,0,0,0,0,16,31,24,14,6,0,0,2,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,0,1,5,1,4,11,0,0,0,0,0,0,1,0,0,15,3,0,0,0,0,18,0,0,3,0,1,0,0,0,0,0,0,0,0,2,11,0,0,35,9,0,63,2
2,0,0,3,0,0,0,0,0,13,25,10,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,16,0,0,0
3,0,0,0,0,0,0,0,0,8,13,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12,0,0,0
4,0,0,0,0,0,0,0,0,7,11,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,19,0,0,0
5,4,11,4,3,0,3,0,0,17,20,11,5,0,0,0,1,6,1,0,0,0,0,0,0,7,6,6,5,7,1,1,0,0,0,0,0,1,6,0,1,0,0,0,0,0,1,0,7,0,19,9,0,0,0,0,0,0,2,8,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,3,0,0,22,33,0,0,0
6,34,99,17,29,3,8,0,3,75,60,23,11,9,0,0,7,40,3,9,2,0,0,2,12,43,11,12,34,14,3,1,14,0,9,9,0,7,32,3,0,0,10,8,0,2,21,10,3,25,0,51,31,0,9,0,0,0,8,130,12,2,55,30,8,0,0,0,10,0,0,0,0,0,2,0,11,0,0,33,18,5,27,47,10,0,49,120,0,1,0
7,53,88,34,37,15,12,0,3,87,84,28,28,12,0,0,35,57,15,12,5,1,0,11,25,65,46,40,55,12,12,1,32,13,6,25,0,15,34,0,0,0,17,15,0,5,18,2,4,29,48,76,39,0,28,0,0,0,24,133,47,4,88,52,5,11,8,20,10,0,11,0,21,10,12,7,10,0,0,47,27,8,33,66,13,0,100,200,9,4,6
8,126,98,33,54,9,21,0,5,143,143,33,48,23,0,2,33,96,9,40,3,5,0,6,18,115,64,43,81,21,16,4,49,8,7,70,16,21,44,0,3,0,15,18,0,3,13,11,7,76,46,136,61,0,42,0,2,0,29,335,84,9,95,36,0,14,23,12,4,0,5,0,9,21,16,6,13,0,0,65,45,9,54,106,9,5,100,272,14,10,13
9,95,98,41,53,26,10,0,0,143,156,42,46,42,1,6,44,85,17,66,7,2,0,12,10,104,57,52,47,32,15,6,33,9,5,162,22,19,78,0,0,0,14,22,5,3,29,13,21,72,46,109,106,18,95,0,33,5,45,221,66,8,101,81,10,10,9,3,13,0,22,27,24,23,13,14,52,24,9,72,46,5,64,154,16,13,148,207,5,14,32
